Date,Open,Max,Min,Close
2008-08-21,179,180.8,176.1,180.6
2008-09-01,182.4,183.55,182.2,183.5
2008-09-02,181.76,182,177.61,177.85
2008-09-03,174.6,178,174.01,175.92
2008-09-04,177.01,178.6,175.6,178.6
2008-09-05,178.4,178.58,174.6,176.08
2008-09-08,179.69,179.9,178.11,179.48
2008-09-09,180.1,180.2,175.85,176.55
2008-10-06,182.6,183.88,182.2,182.75
2008-10-07,188.21,192.53,188.21,191
2008-10-08,194.12,197.2,191.2,196
2008-10-09,200.48,200.48,194,194.42
2008-10-10,194.5,202.35,193.5,202.29
2008-10-13,188.45,190.75,188.05,189.65
2008-10-14,187.01,188.45,182.6,185.81
2008-10-15,185.6,188,184,186.42
2008-10-16,184.49,188,183,183.9
2008-10-17,183.8,184.3,173.8,179.1
2008-10-20,176.4,178.2,175.25,177.92
2008-10-23,167.5,167.9,159.1,161.26
2008-11-12,162.85,163.85,161.5,163.63
2008-11-20,163.03,167.4,162.6,164.5
2008-11-26,177.6,181.2,177.23,178.75
2008-11-27,178.2,180.3,177.81,178.61
2008-11-28,178.61,179.29,178.22,179.04
2008-12-01,178.8,179.05,177.7,178.09
2008-12-02,175.02,175.98,169.85,170.1
2008-12-03,172.49,173.69,171.6,173.1
2008-12-04,171.8,172.6,170.2,171.17
2008-12-05,170,173.21,169.88,172.16
2008-12-08,168.2,171.99,168.2,171.71
2008-12-15,181.71,182.85,181.71,181.89
2008-12-19,190.99,190.99,185.65,186.9
2008-12-31,189.99,192,189.75,190.5
2009-01-13,186.78,187.18,181.2,181.45
2009-01-23,187.8,189.15,186.5,188.43
2009-02-02,202.9,203,198.72,199.76
2009-02-04,198.1,200.2,196.3,197.36
2009-02-13,206.6,208.49,205.5,206.69
2009-03-26,202.85,206.57,202.12,205.08
2009-04-02,203.65,203.9,202.2,202.88
2009-04-03,200.98,201.4,197.2,199.07
2009-04-20,190.32,191.7,190.32,191.69
2009-04-29,195.59,197.1,195.16,196.82
2009-04-30,198.18,198.18,195.95,197.29
2009-05-25,210,210,208.9,208.99
2009-05-26,209.21,209.82,208.8,208.9
2009-05-27,208.02,209.15,207.6,208.49
2009-06-01,214.18,216.01,214.18,215.73
2009-06-11,211.5,211.5,208.71,209.54
2009-06-12,208.1,211.2,208.1,209.44
2009-06-26,205.2,207.65,205.2,207.47
2009-07-06,204.01,204.89,203.5,203.63
2009-07-17,206,206.01,205,205.79
2009-07-23,207.8,209.5,207.52,209.45
2009-08-04,210.69,211.2,209.46,209.79
2009-08-14,210.02,210.55,209.5,210
2009-08-18,205.6,206.71,204.85,206.6
