Date,Open,Max,Min,Close
2008-08-21,812.28,839.47,811.27,835.87
2008-08-22,835.87,838.12,821.03,822.4
2008-08-25,824.7,826.38,816.65,821.6
2008-08-26,821.59,830.98,807.03,824.64
2008-08-27,824.88,835.5,821.85,826.47
2008-08-28,826.49,844.35,825.35,833.98
2008-08-29,834.01,838.97,829.4,830.55
2008-09-01,830.8,836.78,815.85,816.4
2008-09-02,816.36,820.33,790.65,803.97
2008-09-03,804.06,808.92,789.45,801.15
2008-09-04,801.18,815.08,793.88,796.1
2008-09-05,796.1,819.6,790.3,802.26
2008-09-08,803.8,818.67,796.97,801.33
2008-09-09,801.4,805.38,776.76,777.42
2008-09-10,777.42,784.13,753.03,753.28
2008-09-11,753.65,758.45,736.63,742.6
2008-09-12,742.7,767.4,741.6,766.7
2008-09-15,765.5,786.95,764.15,786.7
2008-09-16,786.89,790.35,772.03,778.05
2008-09-17,778.05,869.13,774.14,866.75
2008-09-18,866.25,917.17,839.6,842.58
2008-09-19,841.97,877.6,824.48,872.6
2008-09-22,871.8,909.33,862.4,906.75
2008-09-23,906.71,909.97,880.45,896.03
2008-09-24,895.97,902.25,876.15,881.05
2008-09-25,881.57,897.18,864.26,877.3
2008-09-26,877.12,912.18,866.13,879.4
2008-09-29,880.55,925.28,867.25,904.93
2008-09-30,905.4,915.15,956.53,965.3
2008-10-01,865.33,893.9,864.17,872.2
2008-10-02,872.38,876.6,829.35,836.3
2008-10-03,836.2,848.53,819.9,838
2008-10-06,836.95,876.61,825.7,858.87
2008-10-07,858.89,891.63,856.46,888.45
2008-10-08,888.41,922.1,878.03,907.41
2008-10-09,907.58,918.6,880.55,910.5
2008-10-10,910.35,931.85,827.8,846.7
2008-10-13,847.6,872.75,822.22,834.13
2008-10-14,834.18,854.65,830.8,837.4
2008-10-15,837.42,856.85,831.05,846.03
2008-10-16,846.39,850.58,784.9,805.97
2008-10-17,806.1,815,772.88,785.42
2008-10-20,782.9,810.67,781.8,795.22
2008-10-21,795.22,803.75,765.65,772.05
2008-10-22,772.03,777.56,719.78,725.8
2008-10-23,725.63,735.62,698.43,718.07
2008-10-24,717.72,749.05,682,733.64
2008-10-27,735.92,747.58,707.1,731.12
2008-10-28,731.13,756,724.18,746.29
2008-10-29,746.68,775.15,738.25,754.75
2008-10-30,754.72,777.79,732.97,738.85
2008-10-31,738.96,742.41,717.41,723.97
2008-11-03,725.05,739.54,722.08,723.6
2008-11-04,723.58,768.53,721.83,767.42
2008-11-05,767.48,769.88,736.25,739.75
2008-11-06,740.2,760.72,728.97,733.97
2008-11-07,734.07,745.23,725.78,737.02
2008-11-10,736.8,768.6,735.92,747.28
2008-11-11,747.27,751.25,727.15,733.15
2008-11-12,733.14,739.6,709.25,711.4
2008-11-13,711.43,734.75,700.07,732.19
2008-11-14,732.08,754.76,725.28,745.35
2008-11-17,743.35,749.6,730.88,738.25
2008-11-18,738.36,746.35,731.35,736.05
2008-11-19,736.26,763.35,731.93,735.05
2008-11-20,735.13,753.5,733.07,745.45
2008-11-21,745.22,802.57,742.93,799.66
2008-11-24,801.45,829.9,786.65,821.95
2008-11-25,821.51,831.28,803.05,821.07
2008-11-26,821.18,823.45,808.63,817
2008-11-27,817.12,817.88,809.84,815.55
2008-11-28,815.38,820.97,809.79,818.59
2008-12-01,814,819.3,768.4,770.6
2008-12-02,770.61,787.33,762.45,781.4
2008-12-03,781.29,783.93,764.08,773.48
2008-12-04,773.53,785.06,762.73,766.97
2008-12-05,767.06,773.39,741.26,757.92
2008-12-08,756.1,782.5,754.03,774.7
2008-12-09,774.71,780.75,762.78,775.85
2008-12-10,775.8,814.68,774.34,810.82
2008-12-11,811.05,835.2,802.38,820.31
2008-12-12,820.36,829.38,807.82,820.5
2008-12-15,822.55,843.13,821.55,838.87
2008-12-16,839.54,860.05,830.16,858.34
2008-12-17,858.66,882.18,846.43,867.9
2008-12-18,868.18,878.85,848.9,853.4
2008-12-19,853.53,855.15,829.82,838.3
2008-12-22,838.6,852.1,836.65,847.63
2008-12-23,847.32,849.29,829.33,839.64
2008-12-24,839.45,849.8,834.85,848.03
2008-12-25,848.03,848.66,840.75,845.95
2008-12-26,845.95,873.15,842.83,870.96
2008-12-29,870.82,890.96,870.07,878.05
2008-12-30,878.3,884.17,863.98,873.3
2008-12-31,873.81,885,856.53,880.4
2009-01-02,883.3,888.8,867.76,876.75
2009-01-05,875.2,885.57,844.68,858
2009-01-06,857.97,870.76,839.2,864.65
2009-01-07,864.63,867.28,835.85,840.1
2009-01-08,840.05,864.95,836.56,858.4
2009-01-09,858.26,868.58,844.69,852.47
2009-01-12,854.25,857.18,815.4,821.25
2009-01-13,821.73,831.47,814.18,821.81
2009-01-14,821.57,829.58,807.1,810.62
2009-01-15,810.79,821.8,801.97,817.05
2009-01-16,817.18,844.15,815.57,843.33
2009-01-19,843.35,846.55,832.21,837.55
2009-01-20,837.55,866.61,823.67,858.27
2009-01-21,858.89,864.65,843.45,855.01
2009-01-22,854.8,863.28,843.8,859.7
2009-01-23,859.7,903.75,852.53,900.05
2009-01-26,899.2,916.5,889.11,904.78
2009-01-27,905.05,907.8,892.55,897.49
2009-01-28,897.85,903.9,882.53,888.24
2009-01-29,888.58,910.11,874.51,909.57
2009-01-30,909.61,929.93,901.46,928
2009-02-02,925,928.05,901.52,901.97
2009-02-03,901.46,912.92,889.35,899.52
2009-02-04,899.18,909.5,895.6,906.36
2009-02-05,906.59,924.25,902.22,917.6
2009-02-06,917.31,920.5,904.29,911.15
2009-02-09,913.05,913.05,890.82,897.4
2009-02-10,897.52,918.4,891.16,917.05
2009-02-11,917.42,947.73,910.82,939.2
2009-02-12,939.03,952.85,934.89,948.16
2009-02-13,947.94,948.97,932.7,941.87
2009-02-16,939.35,944.75,936.05,942.32
2009-02-17,942.3,974.46,940.08,969.87
2009-02-18,969.58,987.6,960.55,984.7
2009-02-19,984.25,986.55,968.58,973.85
2009-02-20,974.02,1006.45,970.39,993.3
2009-02-23,993.4,998.4,975.8,993.42
2009-02-24,993.65,995.78,959.7,964.47
2009-02-25,964.47,978.9,944.3,949.37
2009-02-26,949.48,956.98,932.1,946.43
2009-02-27,946.42,963.1,926.75,941.25
2009-03-02,940,958.6,922.22,925.61
2009-03-03,925.51,932.97,905.4,915.1
2009-03-04,915.13,923.04,900.03,906.29
2009-03-05,906.25,937.35,905.47,934.8
2009-03-06,934.42,945.2,929.85,938.83
2009-03-09,939.5,942.43,911,922.03
2009-03-10,922.04,923.25,891.38,898.3
2009-03-11,898.32,913.55,892.18,909.1
2009-03-12,909.19,931.07,905.85,926.91
2009-03-13,926.91,938.63,919.5,929.65
2009-03-16,928.45,930.01,915.75,922.75
2009-03-17,922.75,925,912.4,915.16
2009-03-18,915.18,949.55,883.5,941.43
2009-03-19,941.43,962.15,925.7,959.9
2009-03-20,959.9,967.25,946.55,952.08
2009-03-23,952.65,957.42,935.73,939.7
2009-03-24,939.7,945.75,917.3,925.9
2009-03-25,925.68,941.1,916.05,933.71
2009-03-26,933.7,945.46,931.8,934.36
2009-03-27,934.35,936.45,919.05,923.15
2009-03-30,922.35,932.55,908.95,917.49
2009-03-31,917.5,924.83,911.72,919.32
2009-04-01,919.47,933.55,916.75,926.83
2009-04-02,926.84,929.43,894.6,904.35
2009-04-03,904.5,910.05,890.83,892.74
2009-04-06,896.7,897.2,865.15,869.09
2009-04-07,869.09,885.3,867.4,881.43
2009-04-08,881.08,890.45,878.56,881.17
2009-04-09,881.12,886.73,875.05,878.94
2009-04-10,878.94,885.9,878.08,881.99
2009-04-13,881.65,900.15,881.65,894.16
2009-04-14,894.16,899.25,886.19,890.15
2009-04-15,890.42,899.7,885.7,891.17
2009-04-16,890.83,894.05,872.2,875.53
2009-04-17,875.51,877.27,864.92,868.88
2009-04-20,868.9,888.78,865,884.3
2009-04-21,884.43,895.42,878.92,883.87
2009-04-22,883.9,893.75,881.45,889.61
2009-04-23,889.61,909.3,889.51,904.44
2009-04-24,904.67,913.95,902.88,913
2009-04-27,913.15,918.65,905.17,906.38
2009-04-28,906.4,907.35,884.38,893.63
2009-04-29,893.62,903.3,887.8,897.96
2009-04-30,897.96,900.26,880.97,888.77
2009-05-01,888.75,890.05,880.25,886.55
2009-05-04,886.55,907.38,885.05,901.9
2009-05-05,901.91,915.88,895.67,897.07
2009-05-06,897.05,912.38,895.33,911.22
2009-05-07,911.14,925.58,908.4,911.02
2009-05-08,911.04,920.38,905.15,916.38
2009-05-11,917.05,918.03,908.72,913.24
2009-05-12,913.24,924.35,911.77,923.5
2009-05-13,923.47,930.88,917.32,926.07
2009-05-14,925.96,929.05,920.42,926.35
2009-05-15,926.38,934.25,923.83,931.44
2009-05-18,930.5,933.85,915.7,918.2
2009-05-19,918.2,929.65,917.55,924.87
2009-05-20,924.88,940.85,924.6,938.53
2009-05-21,938.53,956.47,936.1,953.36
2009-05-22,953.36,961.51,950.06,957.35
2009-05-25,957.5,960.17,952.4,959.01
2009-05-26,959.02,959.18,941.22,951.91
2009-05-27,951.91,959.72,946.79,949.95
2009-05-28,949.98,965.17,944.25,959.51
2009-05-29,959.51,980.42,958.13,979.08
2009-06-01,977.1,988.65,973.6,975.13
2009-06-02,975.12,986.64,969.2,981.69
2009-06-03,981.58,990.28,960.45,963.83
2009-06-04,963.81,981.83,960.9,980.35
2009-06-05,980.23,984.03,952.75,955.13
2009-06-08,955.65,960.25,943.58,951.85
2009-06-09,951.82,961.9,947.35,954.94
2009-06-10,954.94,965.65,947.15,954.22
2009-06-11,954.22,962.12,943.37,954.86
2009-06-12,954.86,958.51,936.65,939
2009-06-15,938.9,939.78,925.95,928.4
2009-06-16,928.4,939.9,926.05,934.64
2009-06-17,934.74,940.4,928.1,938.55
2009-06-18,938.45,943.61,930.25,933.2
2009-06-19,933.21,939.33,931.08,934.49
2009-06-22,934.3,935.28,918.2,923.1
2009-06-23,923.08,927.17,913.22,925.63
2009-06-24,925.61,941.35,922.22,931.56
2009-06-25,932.53,940.45,930.05,939.72
2009-06-26,939.72,948.45,936.45,939.78
2009-06-29,940.6,943.04,934.45,938
2009-06-30,937.98,945.19,923.22,926.52
2009-07-01,926.43,946.72,926.1,940.62
2009-07-02,940.65,941.95,926.75,930
2009-07-03,930.03,934.62,927.7,932.5
2009-07-06,932.6,933,920.7,925.03
2009-07-07,925.19,932.31,921.35,924.68
2009-07-08,924.68,925.9,905.07,909.54
2009-07-09,909.54,918.8,906.51,912.75
2009-07-10,912.78,915.75,907.1,912.98
2009-07-13,913.15,923.5,907.75,920.31
2009-07-14,920.31,927.81,917.85,925.65
2009-07-15,925.73,942.25,924.55,938.75
2009-07-16,938.75,940.76,932.85,937.23
2009-07-17,937.24,939.97,931.75,937.53
2009-07-20,937.7,955.34,936.96,948.74
2009-07-21,948.75,953.87,944.37,949.01
2009-07-22,948.97,954.88,944.85,951.27
2009-07-23,951.26,957.68,947.7,949.41
2009-07-24,949.41,954.51,946.46,951.47
2009-07-27,951.3,959.43,947.89,953.77
2009-07-28,953.78,956.93,934.35,937.27
2009-07-29,937.28,941.3,925.54,929.91
2009-07-30,929.9,937.43,928.45,934.44
2009-07-31,934.44,957.08,932.22,953.97
2009-08-03,954.2,962.6,951.82,956.49
2009-08-04,956.49,970.1,951.2,967.07
2009-08-05,966.94,968.3,958.55,963.57
2009-08-06,963.58,972,956.39,963.1
2009-08-07,963.14,965.56,953.4,955.05
2009-08-10,954.3,957.15,942.75,946.41
2009-08-11,946.41,950.02,942.05,946.17
2009-08-12,946.18,952.42,939.91,946.81
2009-08-13,946.97,960.6,944.97,954.92
2009-08-14,954.92,959.53,943.85,948.5
2009-08-17,947.38,948.5,930.22,934.7
2009-08-18,934.71,940.17,933.35,938.75
2009-08-19,938.76,945.4,932.1,942.22
2009-08-20,942.22,945.93,937.53,940.6
2009-08-21,940.6,958.03,938,953.83
2009-08-24,953.65,957.18,939.66,941.87
2009-08-25,941.58,954.65,941.45,944.81
2009-08-26,944.81,950.48,940.15,945.62
2009-08-27,945.64,950.83,941.6,948.2
2009-08-28,948.2,962.83,947.65,954.72
2009-08-31,955.95,960.8,944.81,951.34
2009-09-01,951.33,957.15,946.55,956.12
2009-09-02,956.14,980.67,951.45,978.33
2009-09-03,978.32,997.7,974.36,992.22
2009-09-04,992.22,996.75,984.85,993.83
2009-09-07,994.4,996.85,990.35,995.25
2009-09-08,995.25,1007.86,992.94,995.36
2009-09-09,995.49,1003.3,987.4,992.29
2009-09-10,992.3,998.52,983,996.42
2009-09-11,996.42,1012.15,994.45,1005.13
2009-09-14,1005.85,1009.1,993.4,1000.22
2009-09-15,1000.22,1009.79,992.45,1007.53
2009-09-16,1007.53,1020.85,1006.34,1017.06
2009-09-17,1017.06,1024.38,1010.52,1013.81
2009-09-18,1013.81,1018,1006.23,1007.52
2009-09-21,1005.4,1007.15,995.92,1003.56
2009-09-22,1003.56,1019.95,1000.3,1014.4
2009-09-23,1014.45,1018.92,1006.15,1008.6
2009-09-24,1008.68,1019.38,990.58,993.96
2009-09-25,993.96,999.35,985.02,991
2009-09-28,991.65,997.06,985.65,991.06
2009-09-29,991.06,996.03,985.36,992.22
2009-09-30,992.21,1009.42,991.55,1007.6
2009-10-01,1007.61,1010.36,998.05,999.35
2009-10-02,999.35,1007.68,987,1002.71
2009-10-05,1002.3,1018.01,1000.65,1017.32
2009-10-06,1017.33,1043.75,1015.25,1042.09
2009-10-07,1042.15,1048.55,1036.25,1043.96
2009-10-08,1043.83,1061.68,1042.65,1054.8
2009-10-09,1054.8,1055.75,1043.45,1049.28
2009-10-12,1049.05,1059.15,1046.2,1056.89
2009-10-13,1056.89,1068.88,1050.5,1064.48
2009-10-14,1064.52,1070.9,1056.15,1062.63
2009-10-15,1062.63,1066.05,1046.2,1050.4
2009-10-16,1050.39,1057.07,1043.05,1053.4
2009-10-19,1052.95,1064.8,1048.13,1063.87
2009-10-20,1063.87,1068.1,1052.16,1055.39
2009-10-21,1055.5,1065.07,1047.8,1059.09
2009-10-22,1059.07,1061.73,1051.55,1060.01
2009-10-23,1060.01,1067.93,1050.07,1055.66
2009-10-26,1055.3,1060.1,1037.85,1038.61
2009-10-27,1038.63,1043.95,1032.63,1039.81
2009-10-28,1040.03,1042.07,1026.7,1028.2
2009-10-29,1028.17,1047.91,1026.55,1047.17
2009-10-30,1047.19,1048.25,1035.15,1045.29
2009-11-02,1041.5,1063,1041.48,1059.72
2009-11-03,1059.72,1088.1,1055.47,1084.42
2009-11-04,1084.42,1097.7,1079.97,1092.33
2009-11-05,1092.23,1095.25,1083.98,1090.4
2009-11-06,1090.4,1101.4,1086.48,1094.94
2009-11-09,1098.05,1111.3,1095.88,1104.05
2009-11-10,1104.05,1109.4,1096.9,1105.55
2009-11-11,1105.5,1118.85,1104.9,1117.8
2009-11-12,1117.81,1123.12,1102.75,1103.75
2009-11-13,1103.75,1119.51,1101.18,1119.08
2009-11-16,1114.9,1143.5,1114.9,1139.47
2009-11-17,1139.58,1141.92,1127.84,1141.81
2009-11-18,1141.81,1153.18,1135.4,1145.48
2009-11-19,1145.49,1146.4,1130.4,1144.23
2009-11-20,1144.23,1151.23,1132.9,1150.55
2009-11-23,1148.7,1174.05,1148.6,1166.2
2009-11-24,1166.21,1171.5,1157.96,1169.12
2009-11-25,1169.12,1191.97,1166.9,1191.55
2009-11-26,1191.6,1195.41,1180.26,1193.04
2009-11-27,1193.04,1193.1,1137.35,1177.7
2009-11-30,1177.7,1183.39,1163.83,1179.75
2009-12-01,1179.75,1201.75,1175.53,1196.52
2009-12-02,1196.52,1217.32,1195.28,1215.67
2009-12-03,1215.66,1226.79,1204.55,1207.89
2009-12-04,1207.87,1212.55,1147.77,1161.8
2009-12-07,1161.5,1165.35,1135.76,1158.17
2009-12-08,1158.17,1169,1124.87,1128.3
2009-12-09,1128.38,1147.05,1116.85,1129.05
2009-12-10,1129.05,1137.02,1121.25,1130.99
2009-12-11,1130.99,1142.48,1109.35,1115.7
2009-12-14,1114.25,1127.87,1110.69,1126.67
2009-12-15,1126.67,1129.3,1111.45,1125.32
2009-12-16,1125.32,1141.44,1121.62,1137.9
2009-12-17,1137.92,1141.96,1094.85,1098.9
2009-12-18,1098.93,1117.1,1096.61,1113.27
2009-12-21,1112.5,1119.82,1090.32,1093.52
2009-12-22,1093.53,1097.8,1074.63,1083.88
2009-12-23,1083.88,1096.15,1079.5,1087.39
2009-12-24,1087.38,1106.2,1087.22,1105.45
2009-12-28,1104.3,1114.13,1101.75,1106.77
2009-12-29,1106.79,1108.53,1096.57,1097.07
2009-12-30,1097.06,1098.39,1086.11,1093.15
2009-12-31,1093.15,1107.26,1092.32,1096.7
2010-01-04,1096.4,1123.95,1093.45,1121.5
2010-01-05,1121.5,1128.28,1115.4,1118.2
2010-01-06,1118.19,1140.53,1116.41,1138.01
2010-01-07,1138.02,1139.1,1128.58,1132.23
2010-01-08,1131.23,1139.8,1119.94,1137.8
2010-01-11,1139.22,1161.95,1138.26,1151.89
2010-01-12,1151.87,1158.25,1125,1128.94
2010-01-13,1128.94,1138.95,1118.7,1138.43
2010-01-14,1138.46,1146.32,1130.98,1142.77
2010-01-15,1142.73,1145.9,1126.8,1130.9
2010-01-18,1131.62,1137.52,1127.2,1133
2010-01-19,1133,1140.87,1129,1138.52
2010-01-20,1138.51,1141.9,1107.3,1110.91
2010-01-21,1110.91,1117.96,1088.7,1094.57
2010-01-22,1094.62,1098.95,1082.35,1093.22
2010-01-25,1093.47,1104.3,1092.14,1098.6
2010-01-26,1098.5,1103.85,1085.9,1097.56
2010-01-27,1097.55,1102.6,1083.5,1088.44
2010-01-28,1088.44,1096.43,1074.3,1087.4
2010-01-29,1087.34,1090.55,1074.9,1081.54
2010-02-01,1081.2,1107.91,1076.65,1105.22
2010-02-02,1105.2,1118.32,1099.18,1114.65
2010-02-03,1114.66,1125.4,1107.27,1109.8
2010-02-04,1109.8,1111.49,1059.7,1063.12
2010-02-05,1063.14,1068.98,1044.28,1065.91
2010-02-08,1065.07,1074,1061.9,1062.93
2010-02-09,1062.94,1083.42,1061.85,1077.9
2010-02-10,1077.94,1082.65,1063.41,1072.06
2010-02-11,1072.04,1098.01,1071.42,1095.37
2010-02-12,1095.44,1097.4,1077.9,1093.37
2010-02-15,1093.3,1102.55,1091.77,1100.97
2010-02-16,1100.97,1121.45,1098.03,1119.33
2010-02-17,1119.33,1127.3,1105.28,1106.96
2010-02-18,1106.96,1124.22,1098.07,1109.62
2010-02-19,1109.61,1127.01,1099.42,1119.41
2010-02-22,1116.47,1131.23,1109.9,1114.72
2010-02-23,1114.71,1121.37,1099.15,1103.55
2010-02-24,1103.5,1108.41,1089.38,1097.66
2010-02-25,1097.66,1109.4,1087.72,1106.13
2010-02-26,1106.13,1119.17,1103.55,1117.78
2010-03-01,1117.7,1123.7,1112.12,1118.7
2010-03-02,1118.7,1138.07,1114.79,1134.51
2010-03-03,1134.51,1145.28,1132.12,1140.01
2010-03-04,1140.01,1141.85,1125.96,1131.52
2010-03-05,1131.52,1141.03,1127.53,1134.83
2010-03-08,1134.8,1138.08,1118.68,1123.65
2010-03-09,1123.64,1125.28,1108.67,1121.8
2010-03-10,1121.79,1128.28,1103.47,1108.38
2010-03-11,1108.38,1111.97,1100.7,1109.6
2010-03-12,1109.72,1119.63,1097.98,1101.92
2010-03-15,1101.55,1109.09,1101.03,1108.47
2010-03-16,1108.53,1128.88,1106,1127.6
2010-03-17,1127.59,1133.6,1118.5,1120.4
2010-03-18,1120.47,1129.63,1118.21,1127.49
2010-03-19,1127.49,1127.55,1101.43,1106.52
2010-03-22,1106.57,1109.09,1092.53,1102.24
2010-03-23,1102.24,1108.35,1094.4,1105.4
2010-03-24,1105.28,1106.23,1085.23,1086.74
2010-03-25,1086.74,1096,1085.43,1090.52
2010-03-26,1090.44,1109.9,1088.43,1106.9
2010-03-29,1111.35,1114.84,1103.5,1110.06
2010-03-30,1110.06,1113.75,1101.76,1103.78
2010-03-31,1103.78,1118.45,1102.13,1113.3
2010-04-01,1113.33,1128.25,1111.61,1126.6
2010-04-02,1126.75,1127.4,1118.68,1120.44
2010-04-05,1122.9,1133.6,1119.82,1131.81
