Date,Open,Max,Min,Close
2008-08-21,13.264,13.885,13.208,13.857
2008-08-22,13.856,13.965,13.32,13.375
2008-08-25,13.377,13.585,13.12,13.477
2008-08-26,13.476,13.745,12.987,13.622
2008-08-27,13.614,13.88,13.42,13.5
2008-08-28,13.506,14.047,13.46,13.697
2008-08-29,13.686,13.92,13.545,13.612
2008-09-01,13.627,13.826,13.35,13.452
2008-09-02,13.434,13.505,12.48,13.067
2008-09-03,13.069,13.153,12.57,12.917
2008-09-04,12.92,13.2,12.64,12.8
2008-09-05,12.805,13.125,12.08,12.2
2008-09-08,12.287,12.745,11.907,12.072
2008-09-09,12.075,12.21,11.31,11.365
2008-09-10,11.315,11.617,10.69,10.72
2008-09-11,10.722,10.98,10.265,10.492
2008-09-12,10.489,10.952,10.44,10.875
2008-09-15,10.875,11.22,10.41,11.09
2008-09-16,11.085,11.19,10.407,10.455
2008-09-17,10.456,12.11,10.389,12.072
2008-09-18,12.076,13.025,11.69,11.84
2008-09-19,11.825,12.661,11.75,12.532
2008-09-22,12.66,13.594,12.49,13.573
2008-09-23,13.573,13.698,12.983,13.313
2008-09-24,13.313,13.658,13.05,13.22
2008-09-25,13.215,13.805,13.05,13.21
2008-09-26,13.221,13.663,13.044,13.317
2008-09-29,13.22,13.395,12.655,13.1
2008-09-30,13.105,13.248,11.736,11.965
2008-10-01,11.96,12.997,11.944,12.542
2008-10-02,12.543,12.6,10.82,10.923
2008-10-03,10.926,11.73,10.769,11.13
2008-10-06,11.097,11.515,10.89,10.93
2008-10-07,10.922,11.877,10.917,11.527
2008-10-08,11.523,12.096,11.403,11.785
2008-10-09,11.788,12.13,11.498,12.015
2008-10-10,12.015,12.34,9.38,9.94
2008-10-13,10.205,10.88,10.05,10.73
2008-10-14,10.735,11.18,10.577,10.99
2008-10-15,10.987,11.1,10.028,10.39
2008-10-16,10.382,10.39,9.248,9.72
2008-10-17,9.722,9.942,9.097,9.4
2008-10-20,9.412,9.958,9.395,9.83
2008-10-21,9.833,10.233,9.561,10.11
2008-10-22,10.113,10.215,9.398,9.492
2008-10-23,9.483,9.923,9.208,9.49
2008-10-24,9.493,9.833,8.642,9.272
2008-10-27,9.45,9.559,8.731,9.057
2008-10-28,9.059,9.325,8.45,9.207
2008-10-29,9.206,10.193,9.045,9.852
2008-10-30,9.851,10.65,9.587,9.8
2008-10-31,9.823,9.99,9.227,9.847
2008-11-03,9.86,10.29,9.707,9.79
2008-11-04,9.791,10.551,9.708,10.252
2008-11-05,10.253,10.6,10.043,10.34
2008-11-06,10.339,10.822,9.902,10.01
2008-11-07,10.028,10.327,9.92,10.06
2008-11-10,10.067,10.577,10.067,10.22
2008-11-11,10.227,10.27,9.576,9.805
2008-11-12,9.799,9.92,9.278,9.34
2008-11-13,9.356,9.474,8.801,9.412
2008-11-14,9.413,9.74,9.216,9.512
2008-11-17,9.535,9.706,9.249,9.32
2008-11-18,9.328,9.782,9.16,9.6
2008-11-19,9.594,9.875,9.254,9.26
2008-11-20,9.269,9.483,8.827,9.02
2008-11-21,9.036,9.68,8.916,9.67
2008-11-24,9.67,10.701,9.485,10.53
2008-11-25,10.51,10.604,10.05,10.33
2008-11-26,10.328,10.491,10.175,10.36
2008-11-27,10.355,10.405,10.205,10.36
2008-11-28,10.34,10.395,10.11,10.31
2008-12-01,10.3,10.33,9.185,9.297
2008-12-02,9.298,9.745,9.152,9.605
2008-12-03,9.604,9.755,9.3,9.642
2008-12-04,9.643,9.733,9.351,9.538
2008-12-05,9.536,9.581,9.151,9.512
2008-12-08,9.5,10.385,9.483,10.04
2008-12-09,10.035,10.106,9.675,9.829
2008-12-10,9.836,10.292,9.79,10.275
2008-12-11,10.273,10.553,10.138,10.35
2008-12-12,10.333,10.421,10.014,10.242
2008-12-15,10.23,10.735,10.23,10.68
2008-12-16,10.675,11.174,10.46,11.15
2008-12-17,11.151,11.62,10.84,11.412
2008-12-18,11.413,11.48,10.944,10.965
2008-12-19,10.963,11.042,10.558,10.862
2008-12-22,10.86,11.09,10.751,10.85
2008-12-23,10.845,10.885,10.116,10.297
2008-12-24,10.299,10.47,10.225,10.37
