Date,Open,Max,Min,Close
2008-08-21,3150,3220,3081,3188
2008-08-22,3240,3250,3200,3237
2008-08-25,3109,3166,3035,3166
2008-08-26,3181,3188,3127,3145
2008-08-27,3103,3207,3103,3195
2008-08-28,3165,3201,3164,3195
2008-08-29,3250,3254,3182,3210
2008-09-01,3163,3230,3163,3225
2008-09-02,3171,3198,3107,3110
2008-09-03,2999,3088,2978,3020
2008-09-04,3068,3119,3035,3114
2008-09-05,3090,3128,3041,3081
2008-09-08,3140,3140,3080,3112
2008-09-09,3120,3125,3040,3066
2008-09-10,3025,3055,2901,2940
2008-09-11,2950,2960,2810,2810
2008-09-12,2813,2839,2669,2717
2008-09-16,2730,2756,2602,2680
2008-09-17,2642,2711,2600,2709
2008-09-18,2750,2853,2706,2853
2008-09-19,3044,3044,2925,2939
2008-09-22,3000,3027,2952,3018
2008-09-23,3035,3200,3035,3140
2008-09-24,3150,3198,3110,3132
2008-09-25,3185,3190,3081,3141
2008-09-26,3116,3162,3073,3110
2008-10-06,2804,2804,2804,2804
2008-10-07,2808,2841,2776,2824
2008-10-08,2877,2895,2815,2880
2008-10-09,2921,2938,2858,2869
2008-10-10,2861,3000,2853,2982
2008-10-13,2731,2731,2731,2731
2008-10-14,2665,2738,2630,2691
2008-10-15,2699,2720,2655,2703
2008-10-16,2650,2695,2603,2615
2008-10-17,2630,2635,2470,2503
2008-10-20,2518,2518,2463,2480
2008-10-21,2456,2514,2426,2444
2008-10-22,2388,2499,2388,2437
2008-10-23,2420,2466,2338,2355
2008-10-24,2330,2412,2310,2345
2008-10-27,2385,2415,2315,2316
2008-10-28,2305,2358,2297,2354
2008-10-29,2340,2347,2308,2325
2008-10-30,2395,2450,2356,2439
2008-10-31,2401,2426,2338,2347
2008-11-03,2401,2421,2380,2408
2008-11-04,2391,2398,2362,2374
2008-11-05,2417,2445,2392,2430
2008-11-06,2435,2445,2408,2410
2008-11-07,2420,2440,2390,2405
2008-11-10,2413,2425,2410,2422
2008-11-11,2425,2435,2410,2418
2008-11-12,2398,2400,2365,2380
2008-11-13,2350,2360,2215,2259
2008-11-14,2279,2297,2215,2290
2008-11-17,2325,2325,2300,2325
2008-11-18,2313,2323,2273,2291
2008-11-19,2281,2320,2278,2313
2008-11-20,2300,2345,2280,2297
2008-11-21,2312,2313,2237,2266
2008-11-24,2349,2349,2295,2303
2008-11-25,2350,2430,2350,2409
2008-11-26,2389,2433,2381,2403
2008-11-27,2409,2418,2395,2409
2008-11-28,2414,2417,2408,2415
2008-12-01,2405,2410,2396,2399
2008-12-02,2349,2367,2282,2286
2008-12-03,2304,2334,2302,2308
2008-12-04,2300,2317,2280,2302
2008-12-05,2293,2320,2290,2315
2008-12-08,2314,2328,2303,2317
2008-12-09,2330,2390,2318,2365
2008-12-10,2365,2372,2329,2371
2008-12-11,2379,2400,2365,2399
2008-12-12,2420,2440,2367,2374
2008-12-15,2407,2419,2397,2407
2008-12-16,2405,2436,2400,2425
2008-12-17,2426,2510,2418,2491
2008-12-18,2480,2522,2480,2493
